nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
fontenay tresigny,25463.67,83,FONTENAY TRESIGNY
forfry,27933.68,11,FORFRY
forges,23620.58,23,FORGES
forges les bains,31021.36,99,FORGES LES BAINS
fosses,24795.09,53,FOSSES
fouju,29324.23,15,FOUJU
franconville,26109.0,119,FRANCONVILLE
fremainville,31454.97,16,FREMAINVILLE
fremecourt,30177.95,20,FREMECOURT
freneuse,24358.7,77,FRENEUSE
frepillon,28899.0,35,FREPILLON
fresnes,27198.36,65,FRESNES
fresnes sur marne,28602.99,19,FRESNES SUR MARNE
fretoy,24970.47,16,FRETOY
fromont,27202.56,13,FROMONT
frouville,30676.88,24,FROUVILLE
fublaines,27006.18,28,FUBLAINES
gagny,24552.74,162,GAGNY
gaillon sur montcient,30687.14,27,GAILLON SUR MONTCIENT
galluis,31448.76,41,GALLUIS
gambais,36037.01,142,GAMBAIS
gambaiseuil,37449.37,13,GAMBAISEUIL
garancieres,32877.02,71,GARANCIERES
garches,43204.6,65,GARCHES
garentreville,24725.58,4,GARENTREVILLE
gargenville,25831.87,84,GARGENVILLE
garges les gonesse,17654.98,95,GARGES LES GONESSE
gastins,26780.55,31,GASTINS
gaudies,21389.86,32,GAUDIES
gazeran,32608.76,67,GAZERAN
genainville,28127.31,31,GENAINVILLE
genicourt,28468.16,17,GENICOURT
gennevilliers,20273.92,98,GENNEVILLIERS
gentilly,25019.95,28,GENTILLY
germigny l eveque,31445.03,60,GERMIGNY L EVEQUE
germigny sous coulombs,23262.15,9,GERMIGNY SOUS COULOMBS
gesvres le chapitre,29779.13,5,GESVRES LE CHAPITRE
gif sur yvette,36757.09,212,GIF SUR YVETTE
giremoutiers,25873.45,24,GIREMOUTIERS
gironville,25265.55,12,GIRONVILLE
gironville sur essonne,27027.35,36,GIRONVILLE SUR ESSONNE
gometz la ville,36288.56,49,GOMETZ LA VILLE
gometz le chatel,32122.43,40,GOMETZ LE CHATEL
gommecourt,25136.51,34,GOMMECOURT
gonesse,21103.6,102,GONESSE
gouaix,22979.23,41,GOUAIX
goupillieres,34774.51,27,GOUPILLIERES
gournay sur marne,29026.87,41,GOURNAY SUR MARNE
goussainville,19624.37,138,GOUSSAINVILLE
goussonville,32203.64,24,GOUSSONVILLE
gouvernes,32812.57,34,GOUVERNES
gouzangrez,30889.16,5,GOUZANGREZ
grandchamp,31122.91,25,GRANDCHAMP
grandpuits bailly carrois,24621.32,44,GRANDPUITS BAILLY CARROIS
gravon,26144.02,19,GRAVON
gressey,33200.45,31,GRESSEY
gressy,33328.04,17,GRESSY
gretz armainvilliers,25778.34,76,GRETZ ARMAINVILLIERS
grez sur loing,26623.16,49,GREZ SUR LOING
grigny,21005.56,71,GRIGNY
grisy les platres,32745.55,20,GRISY LES PLATRES
grisy suisnes,28099.91,91,GRISY SUISNES
grisy sur seine,21991.51,11,GRISY SUR SEINE
groslay,25635.38,66,GROSLAY
grosrouvre,40078.01,90,GROSROUVRE
guerard,28041.14,121,GUERARD
guercheville,27346.63,14,GUERCHEVILLE
guermantes,35115.7,21,GUERMANTES
guernes,28334.63,28,GUERNES
guerville,29411.46,73,GUERVILLE
guibeville,29043.65,18,GUIBEVILLE
guignes,25130.07,42,GUIGNES
guigneville sur essonne,28140.68,48,GUIGNEVILLE SUR ESSONNE
guillerval,27219.04,50,GUILLERVAL
guiry en vexin,29943.09,8,GUIRY EN VEXIN
guitrancourt,28959.04,21,GUITRANCOURT
gurcy le chatel,26662.43,33,GURCY LE CHATEL
guyancourt,31039.99,129,GUYANCOURT
haravilliers,30114.13,39,HARAVILLIERS
hardricourt,29528.93,41,HARDRICOURT
hargeville,35148.57,20,HARGEVILLE
haute isle,26419.68,22,HAUTE ISLE
hautefeuille,27951.91,20,HAUTEFEUILLE
hedouville,34143.97,14,HEDOUVILLE
herbeville,37692.67,25,HERBEVILLE
herblay,27212.19,208,HERBLAY
hericy,29427.31,72,HERICY
herme,23794.72,44,HERME
hermeray,33475.46,71,HERMERAY
herouville,31065.58,16,HEROUVILLE
hodent,28007.79,12,HODENT
hondevilliers,24626.67,22,HONDEVILLIERS
houdan,26652.16,49,HOUDAN
houilles,31737.27,111,HOUILLES
ichy,24225.89,7,ICHY
igny,33866.04,80,IGNY
isles les meldeuses,25263.58,21,ISLES LES MELDEUSES
isles les villenoy,27416.9,27,ISLES LES VILLENOY
issou,26552.81,45,ISSOU
issy les moulineaux,35908.2,94,ISSY LES MOULINEAUX
itteville,28801.38,124,ITTEVILLE
iverny,26930.91,13,IVERNY
ivry sur seine,22780.88,117,IVRY SUR SEINE
jablines,28773.03,18,JABLINES
jagny sous bois,30546.68,10,JAGNY SOUS BOIS
jaignes,28627.35,24,JAIGNES
jambville,30049.92,41,JAMBVILLE
janville sur juine,30750.52,59,JANVILLE SUR JUINE
janvry,33340.8,29,JANVRY
jaulnes,22909.21,25,JAULNES
jeufosse,25911.29,51,JEUFOSSE
joinville le pont,31612.46,56,JOINVILLE LE PONT
jossigny,28397.93,24,JOSSIGNY
jouarre,25461.32,128,JOUARRE
jouars pontchartrain,35551.05,116,JOUARS PONTCHARTRAIN
jouy en josas,37949.33,95,JOUY EN JOSAS
jouy le chatel,26001.08,94,JOUY LE CHATEL
jouy le moutier,27691.81,105,JOUY LE MOUTIER
jouy mauvoisin,27673.83,17,JOUY MAUVOISIN
jouy sur morin,23393.54,106,JOUY SUR MORIN
juilly,27385.22,26,JUILLY
jumeauville,30999.27,21,JUMEAUVILLE
jutigny,23434.08,16,JUTIGNY
juvisy sur orge,26041.0,56,JUVISY SUR ORGE
juziers,27995.81,69,JUZIERS
l etang la ville,43276.71,55,L ETANG LA VILLE
l hay les roses,29419.53,91,L HAY LES ROSES
l ile st denis,20916.43,18,L ILE ST DENIS
l isle adam,30146.46,130,L ISLE ADAM
la boissiere ecole,29401.31,61,LA BOISSIERE ECOLE
la brosse montceaux,25337.13,28,LA BROSSE MONTCEAUX
la celle les bordes,35539.08,50,LA CELLE LES BORDES
la celle st cloud,38758.24,109,LA CELLE ST CLOUD
la celle sur morin,28657.04,51,LA CELLE SUR MORIN
la chapelle en vexin,24605.46,10,LA CHAPELLE EN VEXIN
